func,class,disp.ratio_median_02,disp.diff_mean_10,disp.costs_runtime,disp.ratio_mean_25,nbc.nb_fitness.cor,disp.diff_mean_25,ic.costs_runtime,disp.ratio_mean_10,ic.m0,disp.ratio_median_25,disp.diff_mean_05,disp.ratio_median_05,nbc.dist_ratio.coeff_var,nbc.nn_nb.cor,disp.diff_mean_02,nbc.nn_nb.sd_ratio,ic.eps_s,nbc.costs_runtime,disp.diff_median_25,disp.diff_median_05,disp.ratio_mean_05,nbc.nn_nb.mean_ratio,disp.diff_median_10,ic.h_max,disp.diff_median_02,disp.ratio_median_10,ic.eps_ratio,ic.eps_max,disp.ratio_mean_02
f1,basic,0.705773863840211,-49.41005165972262,0.282359,0.8711067539497724,-0.4365990620601908,-32.686037878357155,6.119830333333333,0.8051577234072272,0.5418703160638644,0.8701201906029182,-60.4105411024128,0.7585319949290907,0.08474964544428898,0.7316086997499366,-72.90216173352044,0.9612005052065689,8.78712045378712,1.9849773333333331,-33.02037224292738,-61.39036508121783,0.7617786399053054,0.9486577960365543,-50.472474603371005,0.8384904052673329,-74.8032228914225,0.8014752956533332,8.1664998331665,80659187.55652495,0.712519584731159
f2,other,0.8563552087447711,-27.11572006245017,0.2928463333333333,0.9271472536835631,-0.165937237957547,-18.47472276858689,7.818982000000001,0.8930726125171438,0.5456174649723037,0.9256394079379703,-30.184493479224745,0.8782409360069104,0.09735664895758207,0.6532794310790834,-34.5850433739084,0.8307450076229737,,1.9918226666666665,-18.905281163861446,-30.9557247674057,0.8809712698275577,0.9351036618830962,-27.848445427498707,0.5515229362906483,-36.51958146625807,0.8904631192234277,14.999999999999998,992491427329866.0,0.8636182057754079
f3,basic,0.9492313183539313,-7.416854585988507,0.28573899999999997,0.9762374141272793,-0.18528003641370874,-6.025960057382936,6.354128333333333,0.9707526146933999,0.572987943955686,0.9758269494319053,-9.0617716844354,0.9640766255035564,0.11141209743240105,0.5778492737665536,-12.210690473650127,0.7326660381653273,10.582248915582246,1.9901426666666666,-6.145835684157125,-9.133273314997004,0.9642660584964506,0.9222833520327498,-7.622241661499667,0.6774467185055951,-12.907386900125516,0.9700205579119778,9.034034034034033,192650836.54386482,0.9518486815235109
f4,basic,0.715426400753061,-44.773923498046905,0.294553,0.8838355682689013,-0.38206146614837183,-29.458133785393652,4.629212,0.8234397006476132,0.543010752688172,0.8827787593381177,-55.11978559059247,0.7794614236091686,0.08765224080549765,0.7180799428907698,-70.14414282918175,0.9505167789355489,2.761094427761094,1.9720076666666666,-29.802059173370044,-56.06926858516667,0.7826421561758266,0.9451582864665844,-45.490438199298374,0.801842017039422,-72.34932458833995,0.8210717138671244,1.9469469469469471,42.542178965394065,0.7233954292083572
f5,basic,0.7233440998144216,-45.571256908686024,0.292581,0.8895478035184442,-0.42746989166916527,-28.00957359654088,4.052278333333334,0.8202955529675243,0.5387748452264581,0.8884324712275254,-55.39684422632835,0.7800976779335436,0.08965340988349936,0.7044573635022845,-69.93447041209738,0.9217384956412449,0.31865198531865185,1.9991816666666666,-28.364629446121302,-55.90744880414394,0.7815495781141243,0.9427219392605025,-46.09458563273426,0.8331641268284825,-70.33633929532624,0.8186955739354594,-0.2686019352686018,0.3245494710689467,0.7242223017575554
f6,basic,0.7465793563403702,-40.99212762922709,0.29282,0.897399288939141,-0.5175343295526037,-26.018504668666964,4.014526666666666,0.8383527093939608,0.6313131313131314,0.8965816648686226,-50.847755206815265,0.7960367830109382,0.10265662276051447,0.6314420125445245,-62.32452524665516,0.8435514068817134,0.1851851851851851,1.963215,-26.29288821476368,-51.85528722121787,0.799488296881817,0.9302106151073471,-41.586710823297636,0.8659852512763977,-64.42898530239854,0.8364262698348982,-0.4020687354020685,0.24284039551952716,0.7542311535258516
f7,basic,0.640954221961311,-65.60856193643166,0.27753633333333333,0.8218504314851961,-0.559208851146634,-45.17694583837937,4.187153333333333,0.7412809300041134,0.5871619420006517,0.8252898042487883,-78.46279520276538,0.6938929654063615,0.08079112414869344,0.7539480650878342,-92.44631333959065,1.0261009398373264,0.8124791458124787,1.9657133333333334,-44.4179330257518,-77.82409045994265,0.6905918842020728,0.9556086696114288,-64.83544091874553,0.8600343660817428,-91.28308795486811,0.7449813048675608,0.24524524524524513,1.0688837830666633,0.6354495847626457
f8,basic,0.7177408448297521,-48.803815328927506,0.277699,0.8675600348089323,-0.5092174113767897,-33.58544784021529,4.028981333333333,0.8075483414060844,0.5863473444118606,0.8670988102235732,-58.54557374408944,0.7669640933319654,0.09230359103462953,0.6794850545871641,-69.04592100490477,0.9378345023961899,0.22522522522522512,1.9928146666666666,-33.78851647242641,-59.24637591075694,0.7691329824595036,0.9435022602578752,-49.189444276838096,0.8529222442825114,-71.76092619940557,0.8065218756346827,-0.3620286953620286,0.24701900541561447,0.7277262488549162
f9,basic,0.7384858267953708,-43.00265679625445,0.27888966666666665,0.8891840161610863,-0.439614029210779,-28.101821508095593,4.616408333333333,0.8304244011057874,0.6186054089279897,0.8878391381445486,-53.74924700248726,0.7855021637042481,0.10128567575389573,0.630447642526682,-64.90205142671131,0.8603247614878632,2.5542208875542207,1.9635156666666667,-28.515485811041174,-54.53360817675428,0.7880465316840896,0.9336859265472522,-43.87590752085171,0.8499077932547051,-66.48706526631804,0.8274218574323186,1.8268268268268268,36.61426574267415,0.7440668935502343
f10,basic,0.9736375089646,-6.081341428444101,0.27646,0.9812886039395391,-0.5988207017222064,-4.745029448404551,4.298771333333333,0.9760190239691902,0.6634082763115021,0.9809978727929894,-7.360221897376893,0.9719081313119601,0.1267639105301439,0.5095721732048869,-7.621857346370992,0.6534425430044273,1.3530196863530188,2.016975,-4.83094505485361,-7.141789488079307,0.9709758674939656,0.9043130026968523,-6.054410606343794,0.8741614722037276,-6.701856409434299,0.9761855421160469,0.759092425759092,3.4113133157538695,0.969944057798937
